lon,lat
8.54691,47.0512
8.54523,47.04994
8.55368,47.05241
8.55149,47.05104
8.57222,47.05276
8.57212,47.05913
8.58508,47.05218
8.55033,47.04709
7.90268,47.36249
8.59761,46.99573
8.60611,46.99457
8.24542,46.89520
8.59173,46.99990
8.65243,47.02232
8.54271,47.04904
8.62909,47.02730
7.69801,46.90069
8.52590,47.20666
8.51408,47.10520
8.71787,47.15024
8.71872,47.14996
8.62595,46.89843
8.63243,46.87372
8.59432,46.89833
8.62877,46.89283
8.62516,46.89153
8.63053,46.86304
8.79855,46.77952
8.65527,46.86352
8.67054,46.79029
8.67030,46.78984
8.66994,46.78651
8.59927,46.70578
8.63614,46.87141
8.62427,46.88515
8.72824,46.87250
7.72707,47.52266
8.62189,46.95065